SelectorDIC_features_custom>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

**** WER = 0.8539325842696629
Total correct: 26 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: JOHN *BOOK *IX                                                JOHN WRITE HOMEWORK
    7: JOHN *WHAT *JOHN *IX                                          JOHN CAN GO CAN
   12: JOHN *WHAT *WHAT *CAR                                         JOHN CAN GO CAN
   21: JOHN *BOOK *MARY *JOHN *IX *WHAT *JOHN *VIDEOTAPE             JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: *MARY *TELL *MARY *MARY *LOVE                                 JOHN LIKE IX IX IX
   28: JOHN *WHO *MARY *JOHN *LOVE                                   JOHN LIKE IX IX IX
   30: JOHN *JOHN *BOOK *JOHN *ARRIVE                                JOHN LIKE IX IX IX
   36: *JOHN *JOHN *WHAT *MARY *FUTURE *JOHN                         MARY VEGETABLE KNOW IX LIKE CORN1
   40: JOHN *MARY *JOHN *JOHN *MARY                                  JOHN IX THINK MARY LOVE
   43: JOHN *BOOK *MARY *JOHN                                        JOHN MUST BUY HOUSE
   50: *JOHN *BOOK *MARY *WHAT *JOHN                                 FUTURE JOHN BUY CAR SHOULD
   54: *BOOK *FRANK *FRANK *MARY *JOHN                               JOHN SHOULD NOT BUY HOUSE
   57: JOHN *JOHN *MARY *JOHN                                        JOHN DECIDE VISIT MARY
   67: JOHN *IX *BOOK *MARY *JOHN                                    JOHN FUTURE NOT BUY HOUSE
   71: *BOOK *FUTURE *JOHN *JOHN                                     JOHN WILL VISIT MARY
   74: JOHN *JOHN *JOHN *FRANK                                       JOHN NOT VISIT MARY
   77: *JOHN *JOHN *BILL                                             ANN BLAME MARY
   84: *BILL *MARY *JOHN *IX                                         IX-1P FIND SOMETHING-ONE BOOK
   89: *BOOK *JOHN *JOHN *JOHN *JOHN *MARY *MARY                     JOHN IX GIVE MAN IX NEW COAT
   90: JOHN *JOHN *WHAT *WHAT *JOHN BOOK                             JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: *SHOULD *JOHN *MARY *JOHN *TELL *IX                           JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: *JOHN *JOHN *JOHN *MARY                                       POSS NEW CAR BREAK-DOWN
  105: JOHN *JOHN                                                    JOHN LEG
  107: JOHN *IX *JOHN *JOHN *JOHN                                    JOHN POSS FRIEND HAVE CANDY
  108: *JOHN *JOHN                                                   WOMAN ARRIVE
  113: *JOHN *BOX *CAN *WHAT *JOHN                                   IX CAR BLUE SUE BUY
  119: *JOHN *IX *WHAT *CAN *WHAT                                    SUE BUY IX CAR BLUE
  122: *MARY *FUTURE *IX                                             JOHN READ BOOK
  139: JOHN *MARY WHAT *WHAT BOOK                                    JOHN BUY WHAT YESTERDAY BOOK
  142: JOHN *JOHN *JOHN *CAR BOOK                                    JOHN BUY YESTERDAY WHAT BOOK
  158: *BILL JOHN *JOHN                                              LOVE JOHN WHO
  167: JOHN *JOHN *JOHN *JOHN *JOHN                                  JOHN IX SAY LOVE MARY
  171: JOHN *JOHN BLAME                                              JOHN MARY BLAME
  174: *JOHN *JOHN *JOHN *JOHN *WHAT                                 PEOPLE GROUP GIVE1 JANA TOY
  181: *WHAT *MARY                                                   JOHN ARRIVE
  184: *WHAT *WHAT *JOHN *WHAT *JOHN                                 ALL BOY GIVE TEACHER APPLE
  189: JOHN *JOHN *JOHN *IX                                          JOHN GIVE GIRL BOX
  193: JOHN *JOHN *JOHN *WHAT                                        JOHN GIVE GIRL BOX
  199: *JOHN *JOHN *STOLEN                                           LIKE CHOCOLATE WHO
  201: *IX *IX *JOHN *BOOK *MARY *WHAT                               JOHN TELL MARY IX-1P BUY HOUSE
