SelectorBIC_features_custom>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

**** WER = 0.8539325842696629
Total correct: 26 out of 178
Video  Recognized                                                    Correct
=====================================================================================================
    2: JOHN *BOOK *IX                                                JOHN WRITE HOMEWORK
    7: JOHN *JOHN *JOHN *CAR                                         JOHN CAN GO CAN
   12: *WHO CAN *JOHN *BOX                                           JOHN CAN GO CAN
   21: JOHN *BOOK *JOHN *JOHN *IX *WHAT *FUTURE *MARY                JOHN FISH WONT EAT BUT CAN EAT CHICKEN
   25: *MARY *WHO *MARY *MARY *LOVE                                  JOHN LIKE IX IX IX
   28: JOHN *WHO *MARY *JOHN *LOVE                                   JOHN LIKE IX IX IX
   30: *MARY *JOHN *ARRIVE *JOHN *BOOK                               JOHN LIKE IX IX IX
   36: *JOHN *MARY *JOHN *MARY *JOHN *MARY                           MARY VEGETABLE KNOW IX LIKE CORN1
   40: *MARY *ARRIVE *JOHN MARY *MARY                                JOHN IX THINK MARY LOVE
   43: JOHN *BOOK *JOHN *JOHN                                        JOHN MUST BUY HOUSE
   50: *JOHN *BOOK *WOMAN CAR *MARY                                  FUTURE JOHN BUY CAR SHOULD
   54: *BOOK *MARY *MARY *MARY *JOHN                                 JOHN SHOULD NOT BUY HOUSE
   57: JOHN *WHO *IX *JOHN                                           JOHN DECIDE VISIT MARY
   67: JOHN *JOHN *BOOK *JOHN *JOHN                                  JOHN FUTURE NOT BUY HOUSE
   71: JOHN *JOHN *JOHN MARY                                         JOHN WILL VISIT MARY
   74: JOHN *JOHN *MARY *JOHN                                        JOHN NOT VISIT MARY
   77: *JOHN *IX *BILL                                               ANN BLAME MARY
   84: *BILL *JOHN *JOHN *LOVE                                       IX-1P FIND SOMETHING-ONE BOOK
   89: *BOOK *JOHN *IX *JOHN IX *IX *JOHN                            JOHN IX GIVE MAN IX NEW COAT
   90: *MARY *JOHN *WHAT *IX *MARY BOOK                              JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
   92: *MARY *IX *MARY *JOHN *JOHN *JOHN                             JOHN GIVE IX SOMETHING-ONE WOMAN BOOK
  100: *JOHN *GIVE1 *JOHN *MARY                                      POSS NEW CAR BREAK-DOWN
  105: JOHN *JOHN                                                    JOHN LEG
  107: *MARY *CAR *WHO *MARY *JOHN                                   JOHN POSS FRIEND HAVE CANDY
  108: *JOHN *JOHN                                                   WOMAN ARRIVE
  113: *JOHN *BOX *CAN *JOHN *JOHN                                   IX CAR BLUE SUE BUY
  119: *MARY *ARRIVE *WHAT CAR *JOHN                                 SUE BUY IX CAR BLUE
  122: JOHN *JOHN *ARRIVE                                            JOHN READ BOOK
  139: JOHN *ARRIVE WHAT *WHAT BOOK                                  JOHN BUY WHAT YESTERDAY BOOK
  142: JOHN *JOHN *MARY *CAR BOOK                                    JOHN BUY YESTERDAY WHAT BOOK
  158: *BILL JOHN *VEGETABLE                                         LOVE JOHN WHO
  167: JOHN *JOHN *MARY *JOHN *JOHN                                  JOHN IX SAY LOVE MARY
  171: *MARY *JOHN BLAME                                             JOHN MARY BLAME
  174: *JOHN *JOHN *IX *MARY *WHAT                                   PEOPLE GROUP GIVE1 JANA TOY
  181: *WHAT *MARY                                                   JOHN ARRIVE
  184: *WHAT *JOHN *JOHN *JOHN *JOHN                                 ALL BOY GIVE TEACHER APPLE
  189: *MARY *JOHN *MARY *JOHN                                       JOHN GIVE GIRL BOX
  193: *MARY *JOHN *MARY *WHAT                                       JOHN GIVE GIRL BOX
  199: *JOHN *JOHN *STOLEN                                           LIKE CHOCOLATE WHO
  201: *MARY *BOOK *JOHN *BOOK *JOHN *IX                             JOHN TELL MARY IX-1P BUY HOUSE
